Wanderung gegenüber Wien nach Zählbezirken, Geburtsstaat und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by subdistrict, country of birth and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_SDC;EMI_SDC;MIG_SDC_INT;REF_DATE
AT1;AT13;AT130;00000;9010101;2;AUT;-11;-1;6;7;-10;24;19;52;67;5;2007
AT1;AT13;AT130;00000;9010101;2;DEU;5;4;7;3;1;2;2;7;6;1;2007
AT1;AT13;AT130;00000;9010101;2;POL;2;4;6;2;-2;0;0;1;3;0;2007
AT1;AT13;AT130;00000;9010101;2;ROU;6;2;4;2;4;0;0;5;1;0;2007
AT1;AT13;AT130;00000;9010101;2;SVK;0;2;2;0;-2;1;1;0;2;0;2007
AT1;AT13;AT130;00000;9010101;2;HUN;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010101;2;BGR;2;0;1;1;2;0;0;3;1;0;2007
AT1;AT13;AT130;00000;9010101;2;CZE;1;1;1;0;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010101;2;REST-EU;4;6;13;7;-2;3;1;3;7;0;2007
AT1;AT13;AT130;00000;9010101;2;SCG;-1;0;1;1;-1;0;0;3;4;0;2007
AT1;AT13;AT130;00000;9010101;2;TUR;-2;0;0;0;-2;0;0;1;3;0;2007
AT1;AT13;AT130;00000;9010101;2;HRV;0;0;0;0;0;0;0;2;2;1;2007
AT1;AT13;AT130;00000;9010101;2;MKD;2;0;0;0;2;0;0;2;0;0;2007
AT1;AT13;AT130;00000;9010101;2;RUS;5;2;2;0;3;3;1;2;1;0;2007
AT1;AT13;AT130;00000;9010101;2;CHN;1;0;1;1;1;0;0;4;3;0;2007
AT1;AT13;AT130;00000;9010101;2;OTHER;3;13;29;16;-10;0;2;13;21;3;2007
AT1;AT13;AT130;00000;9010101;1;AUT;-20;-7;6;13;-13;22;30;57;62;5;2007
AT1;AT13;AT130;00000;9010101;1;DEU;5;10;14;4;-5;3;1;3;10;0;2007
AT1;AT13;AT130;00000;9010101;1;POL;-1;-1;2;3;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010101;1;ROU;2;3;4;1;-1;0;0;1;2;0;2007
AT1;AT13;AT130;00000;9010101;1;HUN;2;4;4;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010101;1;BGR;1;0;0;0;1;0;0;3;2;0;2007
AT1;AT13;AT130;00000;9010101;1;CZE;2;3;3;0;-1;0;1;1;1;0;2007
AT1;AT13;AT130;00000;9010101;1;REST-EU;5;8;12;4;-3;0;1;6;8;0;2007
AT1;AT13;AT130;00000;9010101;1;SCG;-1;1;2;1;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010101;1;TUR;-3;-1;0;1;-2;0;0;1;3;0;2007
AT1;AT13;AT130;00000;9010101;1;BIH;-2;0;1;1;-2;0;0;0;2;1;2007
AT1;AT13;AT130;00000;9010101;1;HRV;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010101;1;RUS;2;2;2;0;0;1;0;0;1;0;2007
AT1;AT13;AT130;00000;9010101;1;CHN;-1;0;0;0;-1;0;0;1;2;0;2007
AT1;AT13;AT130;00000;9010101;1;OTHER;18;21;34;13;-3;2;2;21;24;3;2007
AT1;AT13;AT130;00000;9010102;2;AUT;1;-3;2;5;4;14;7;22;25;0;2007
AT1;AT13;AT130;00000;9010102;2;DEU;6;2;2;0;4;1;0;3;0;0;2007
AT1;AT13;AT130;00000;9010102;2;POL;1;1;2;1;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010102;2;ROU;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010102;2;SVK;1;2;2;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;2;HUN;-4;-2;0;2;-2;0;1;1;2;0;2007
AT1;AT13;AT130;00000;9010102;2;BGR;0;1;1;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;2;REST-EU;5;5;5;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010102;2;SCG;-1;2;2;0;-3;0;0;0;3;0;2007
AT1;AT13;AT130;00000;9010102;2;BIH;-3;0;0;0;-3;1;0;0;4;0;2007
AT1;AT13;AT130;00000;9010102;2;HRV;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010102;2;MKD;0;-1;0;1;1;1;0;0;0;0;2007
AT1;AT13;AT130;00000;9010102;2;RUS;16;8;8;0;8;1;0;9;2;0;2007
AT1;AT13;AT130;00000;9010102;2;OTHER;1;1;4;3;0;0;0;3;3;0;2007
AT1;AT13;AT130;00000;9010102;1;AUT;13;1;8;7;12;13;8;32;25;0;2007
AT1;AT13;AT130;00000;9010102;1;DEU;1;2;3;1;-1;1;1;1;2;0;2007
AT1;AT13;AT130;00000;9010102;1;POL;3;1;1;0;2;0;0;2;0;0;2007
